time,yaw,pitch,roll,surge
23:04:15.748,0,0,0,0
23:04:15.808,3.04,-23.7,0,0
23:04:15.860,3.04,-23.69,-5,0
23:04:15.918,3.03,-23.7,-6,0
23:04:15.975,3.04,-23.7,-5,0
23:04:16.033,3.05,-23.69,-5,0
23:04:16.094,3.05,-23.7,-6,0
23:04:16.151,3.05,-23.69,-6,0
23:04:16.208,3.04,-23.69,-6,0
23:04:16.267,3.04,-23.69,-6,0
23:04:16.326,3.03,-23.69,-6,0
23:04:16.383,3.03,-23.7,-6,0
23:04:16.443,3.04,-23.68,-6,0
23:04:16.500,3.05,-23.68,-6,0
23:04:16.557,3.05,-23.68,-6,0
23:04:16.621,3.05,-23.66,-6,0
23:04:16.676,3.05,-23.67,-6,0
23:04:16.732,3.04,-23.67,-6,0
23:04:16.791,3.04,-23.69,-6,0
23:04:16.853,3.04,-23.68,-6,0
23:04:16.908,3.03,-23.69,-6,0
23:04:16.966,3.03,-23.69,-6,0
23:04:17.022,3.02,-23.69,-6,0
23:04:17.084,3.02,-23.7,-6,0
23:04:17.144,3.02,-23.7,-6,0
23:04:17.204,3.02,-23.71,-6,0
23:04:17.258,3.02,-23.72,-6,0
23:04:17.317,3.01,-23.7,-6,0
23:04:17.378,3.01,-23.7,-6,0
23:04:17.434,3.03,-23.68,-10,1
23:04:17.495,3.03,-23.7,-10,1
23:04:17.552,3.03,-23.69,-11,1
23:04:17.614,3.03,-23.7,-11,1
23:04:17.671,3.02,-23.7,-11,1
23:04:17.733,3.02,-23.69,-11,1
23:04:17.790,3.03,-23.7,-11,1
23:04:17.847,3.03,-23.69,-11,1
23:04:17.909,3.04,-23.69,-11,1
23:04:17.969,3.04,-23.7,-11,1
23:04:18.028,3.04,-23.71,-11,1
23:04:18.084,3.04,-23.69,-11,1
23:04:18.147,3.03,-23.7,-11,1
23:04:18.204,3.03,-23.71,-12,1
23:04:18.267,3.03,-23.71,-12,1
23:04:18.323,3.02,-23.72,-12,1
23:04:18.385,3.02,-23.72,-12,1
23:04:18.441,3.03,-23.73,-12,1
23:04:18.503,3.04,-23.73,-12,1
23:04:18.559,3.04,-23.71,-10,1
23:04:18.621,3.05,-23.71,-11,1
23:04:18.679,3.05,-23.71,-11,1
23:04:18.740,3.05,-23.72,-11,1
23:04:18.798,3.04,-23.72,-11,1
23:04:18.858,3.04,-23.71,-11,1
23:04:18.919,3.03,-23.72,-11,1
23:04:18.978,3.03,-23.71,-11,1
23:04:19.036,3.03,-23.71,-12,1
23:04:19.098,3.03,-23.7,-11,1
23:04:19.154,3.03,-23.68,-10,1
23:04:19.216,3.04,-23.69,-11,1
23:04:19.271,3.04,-23.65,-11,1
23:04:19.334,3.04,-23.67,-11,1
23:04:19.391,3.04,-23.68,-11,1
23:04:19.449,3.04,-23.68,-11,1
23:04:19.509,3.04,-23.69,-11,1
23:04:19.568,3.03,-23.7,-11,1
23:04:19.629,3.03,-23.68,-12,1
23:04:19.685,3.05,-23.68,-11,1
23:04:19.747,3.09,-23.66,-11,1
23:04:19.804,3.06,-23.69,-11,1
